ID,month,day,hour,Humidity,WindSpeed,Temp,CloudCover,Rain,SolarIrradiation,generation,yearSin,yearCos,daySin,dayCos,monthSin,monthCos,hourSin,hourCos
15,8,15,0.5,63,2,28.4,0,0,0,0,-0.679142207,-0.734006718,-0.937752132,0.347305253,-0.866025404,-0.5,0.130526192,0.991444861
15,8,15,1,70,2.7,28.2,0,0,0,0,-0.679405225,-0.733763273,-0.848644257,0.52896401,-0.866025404,-0.5,0.258819045,0.965925826
15,8,15,1.5,70,2.7,28.2,0,0,0,0,-0.679668156,-0.733519733,-0.848644257,0.52896401,-0.866025404,-0.5,0.382683432,0.923879533
15,8,15,2,73,2.3,27.7,0,0,0,0,-0.679930999,-0.733276098,-0.848644257,0.52896401,-0.866025404,-0.5,0.5,0.866025404
15,8,15,2.5,73,2.3,27.7,0,0,0,0,-0.680193755,-0.73303237,-0.848644257,0.52896401,-0.866025404,-0.5,0.608761429,0.79335334
15,8,15,3,77,1.7,27.4,1,0,0,0,-0.680456424,-0.732788548,-0.848644257,0.52896401,-0.866025404,-0.5,0.707106781,0.707106781
15,8,15,3.5,77,1.7,27.4,1,0,0,0,-0.680719005,-0.732544631,-0.848644257,0.52896401,-0.866025404,-0.5,0.79335334,0.608761429
15,8,15,4,79,1.5,27,1,0,0,0,-0.680981499,-0.73230062,-0.848644257,0.52896401,-0.866025404,-0.5,0.866025404,0.5
15,8,15,4.5,79,1.5,27,1,0,0,0,-0.681243905,-0.732056515,-0.848644257,0.52896401,-0.866025404,-0.5,0.923879533,0.382683432
15,8,15,5,84,1.9,26.7,1,0,0,0,-0.681506224,-0.731812317,-0.848644257,0.52896401,-0.866025404,-0.5,0.965925826,0.258819045
15,8,15,5.5,84,1.9,26.7,1,0,0,0,-0.681768455,-0.731568024,-0.848644257,0.52896401,-0.866025404,-0.5,0.991444861,0.130526192
15,8,15,6,83,1,26.9,4,0,0.582308013,0,-0.682030599,-0.731323637,-0.848644257,0.52896401,-0.866025404,-0.5,1,6.12E-17
15,8,15,6.5,83,1,26.9,4,0,0.368631686,0,-0.682292655,-0.731079156,-0.848644257,0.52896401,-0.866025404,-0.5,0.991444861,-0.130526192
15,8,15,7,79,1.2,27.7,4,0,1.176917881,4.145131047,-0.682554624,-0.730834582,-0.848644257,0.52896401,-0.866025404,-0.5,0.965925826,-0.258819045
15,8,15,7.5,79,1.2,27.7,4,0,1.083261694,6.474074513,-0.682816504,-0.730589913,-0.848644257,0.52896401,-0.866025404,-0.5,0.923879533,-0.382683432
15,8,15,8,73,1.5,28.8,4,0,2.56441974,7.164175793,-0.683078298,-0.730345151,-0.848644257,0.52896401,-0.866025404,-0.5,0.866025404,-0.5
15,8,15,8.5,73,1.5,28.8,4,0,2.076341066,8.096289933,-0.683340003,-0.730100295,-0.848644257,0.52896401,-0.866025404,-0.5,0.79335334,-0.608761429
15,8,15,9,65,1.9,30.5,0,0,2.565595802,9.143135388,-0.683601621,-0.729855345,-0.848644257,0.52896401,-0.866025404,-0.5,0.707106781,-0.707106781
15,8,15,9.5,65,1.9,30.5,0,0,2.454669062,9.891865605,-0.68386315,-0.729610301,-0.848644257,0.52896401,-0.866025404,-0.5,0.608761429,-0.79335334
15,8,15,10,55,2.8,32.1,0,0,3.039491724,10.78179479,-0.684124592,-0.729365164,-0.848644257,0.52896401,-0.866025404,-0.5,0.5,-0.866025404
15,8,15,10.5,55,2.8,32.1,0,0,3.787083161,11.46229305,-0.684385947,-0.729119933,-0.848644257,0.52896401,-0.866025404,-0.5,0.382683432,-0.923879533
15,8,15,11,65,2.8,32.6,0,0,3.377228542,11.29273532,-0.684647213,-0.728874608,-0.848644257,0.52896401,-0.866025404,-0.5,0.258819045,-0.965925826
15,8,15,11.5,65,2.8,32.6,0,0,3.857401512,11.66489146,-0.684908391,-0.72862919,-0.848644257,0.52896401,-0.866025404,-0.5,0.130526192,-0.991444861
15,8,15,12,57,4.3,33.3,1,0,3.575876332,11.84757122,-0.685169481,-0.728383678,-0.848644257,0.52896401,-0.866025404,-0.5,1.22E-16,-1
15,8,15,12.5,57,4.3,33.3,1,0,4.018886085,11.31953424,-0.685430484,-0.728138072,-0.848644257,0.52896401,-0.866025404,-0.5,-0.130526192,-0.991444861
15,8,15,13,49,3.4,33.7,1,0,4.315011859,11.13335654,-0.685691398,-0.727892373,-0.848644257,0.52896401,-0.866025404,-0.5,-0.258819045,-0.965925826
15,8,15,13.5,49,3.4,33.7,1,0,3.699111994,10.83215467,-0.685952224,-0.727646581,-0.848644257,0.52896401,-0.866025404,-0.5,-0.382683432,-0.923879533
